"Time","Wl-ShootingVoltage","Wl-Depth","Wl-ShootingVoltage"
2024-05-15 19:23:25,1.3,19085,1.3
2024-05-15 19:23:25,0.84,19086,0.84
2024-05-15 19:23:25,0.84,19087,0.84
2024-05-15 19:23:25,0.84,19088,0.84
2024-05-15 19:23:26,0.84,19088,0.84
2024-05-15 19:23:26,1.3,19090,1.3
2024-05-15 19:23:26,0.84,19092,0.84
2024-05-15 19:23:26,0.84,19093,0.84
2024-05-15 19:23:26,0.84,19094,0.84
2024-05-15 19:23:27,0.84,19095,0.84
2024-05-15 19:23:27,0.84,19095,0.84
2024-05-15 19:23:27,0.84,19097,0.84
2024-05-15 19:23:27,0.84,19098,0.84
2024-05-15 19:23:27,0.84,19100,0.84
2024-05-15 19:23:28,0.84,19101,0.84
2024-05-15 19:23:28,0.84,19101,0.84
2024-05-15 19:23:28,1.3,19102,1.3
2024-05-15 19:23:28,0.84,19104,0.84
2024-05-15 19:23:28,0.84,19104,0.84
2024-05-15 19:23:29,0.84,19105,0.84
2024-05-15 19:23:29,1.3,19107,1.3
2024-05-15 19:23:29,0.84,19108,0.84
2024-05-15 19:23:29,0.84,19109,0.84
2024-05-15 19:23:29,0.84,19109,0.84
2024-05-15 19:23:30,0.84,19111,0.84
2024-05-15 19:23:30,1.3,19112,1.3
2024-05-15 19:23:30,1.3,19114,1.3
2024-05-15 19:23:30,0.84,19115,0.84
2024-05-15 19:23:30,1.3,19116,1.3
2024-05-15 19:23:31,1.3,19118,1.3
2024-05-15 19:23:31,1.3,19118,1.3
2024-05-15 19:23:31,0.84,19119,0.84
2024-05-15 19:23:31,1.3,19121,1.3
2024-05-15 19:23:31,0.84,19122,0.84
2024-05-15 19:23:32,1.3,19124,1.3
2024-05-15 19:23:32,0.84,19125,0.84
2024-05-15 19:23:32,0.84,19125,0.84
2024-05-15 19:23:32,1.3,19126,1.3
2024-05-15 19:23:32,1.3,19127,1.3
2024-05-15 19:23:33,0.84,19129,0.84
2024-05-15 19:23:33,1.3,19130,1.3
2024-05-15 19:23:33,1.3,19130,1.3
2024-05-15 19:23:33,0.84,19132,0.84
2024-05-15 19:23:34,1.3,19133,1.3
2024-05-15 19:23:34,1.3,19135,1.3
2024-05-15 19:23:34,0.84,19136,0.84
2024-05-15 19:23:34,0.84,19136,0.84
2024-05-15 19:23:34,0.84,19137,0.84
2024-05-15 19:23:35,0.84,19139,0.84
2024-05-15 19:23:35,0.84,19140,0.84
2024-05-15 19:23:35,1.3,19142,1.3
2024-05-15 19:23:35,0.84,19143,0.84
2024-05-15 19:23:35,0.84,19143,0.84
2024-05-15 19:23:36,0.84,19144,0.84
2024-05-15 19:23:36,0.84,19146,0.84
2024-05-15 19:23:36,0.84,19147,0.84
2024-05-15 19:23:36,1.3,19149,1.3
2024-05-15 19:23:36,1.3,19150,1.3
2024-05-15 19:23:37,1.3,19150,1.3
2024-05-15 19:23:37,0.84,19151,0.84
2024-05-15 19:23:37,1.3,19153,1.3
2024-05-15 19:23:37,0.84,19154,0.84
2024-05-15 19:23:37,0.84,19156,0.84
2024-05-15 19:23:38,0.84,19156,0.84
2024-05-15 19:23:38,1.3,19157,1.3
2024-05-15 19:23:38,1.3,19158,1.3
2024-05-15 19:23:38,0.84,19160,0.84
2024-05-15 19:23:38,1.3,19161,1.3
2024-05-15 19:23:39,1.3,19163,1.3
2024-05-15 19:23:39,1.3,19163,1.3
2024-05-15 19:23:39,1.3,19164,1.3
2024-05-15 19:23:39,0.84,19165,0.84
2024-05-15 19:23:39,0.84,19167,0.84
2024-05-15 19:23:40,1.3,19168,1.3
2024-05-15 19:23:40,1.3,19168,1.3
2024-05-15 19:23:40,0.84,19170,0.84
2024-05-15 19:23:40,0.84,19171,0.84
2024-05-15 19:23:41,1.3,19173,1.3
2024-05-15 19:23:41,1.3,19174,1.3
2024-05-15 19:23:41,0.84,19175,0.84
2024-05-15 19:23:41,0.84,19177,0.84
2024-05-15 19:23:41,0.84,19177,0.84
2024-05-15 19:23:42,0.84,19178,0.84
2024-05-15 19:23:42,1.3,19179,1.3
2024-05-15 19:23:42,1.3,19181,1.3
2024-05-15 19:23:42,1.3,19182,1.3
2024-05-15 19:23:42,0.84,19184,0.84
2024-05-15 19:23:43,0.84,19184,0.84
2024-05-15 19:23:43,0.84,19185,0.84
2024-05-15 19:23:43,0.84,19187,0.84
2024-05-15 19:23:43,1.3,19188,1.3
2024-05-15 19:23:43,1.3,19189,1.3
2024-05-15 19:23:44,0.84,19191,0.84
2024-05-15 19:23:44,0.84,19191,0.84
2024-05-15 19:23:44,0.84,19192,0.84
2024-05-15 19:23:44,1.3,19194,1.3
2024-05-15 19:23:44,0.84,19195,0.84
2024-05-15 19:23:45,0.84,19196,0.84
2024-05-15 19:23:45,0.84,19198,0.84
2024-05-15 19:23:45,0.84,19198,0.84
2024-05-15 19:23:45,1.3,19199,1.3
2024-05-15 19:23:45,0.84,19200,0.84
2024-05-15 19:23:46,1.3,19202,1.3
2024-05-15 19:23:46,0.84,19203,0.84
2024-05-15 19:23:46,0.84,19203,0.84
2024-05-15 19:23:46,1.3,19205,1.3
2024-05-15 19:23:46,0.84,19206,0.84
2024-05-15 19:23:47,1.3,19207,1.3
2024-05-15 19:23:47,0.84,19209,0.84
2024-05-15 19:23:47,1.3,19209,1.3
2024-05-15 19:23:47,0.84,19210,0.84
2024-05-15 19:23:47,0.84,19212,0.84
2024-05-15 19:23:48,1.3,19213,1.3
2024-05-15 19:23:48,0.84,19215,0.84
2024-05-15 19:23:48,0.84,19216,0.84
2024-05-15 19:23:48,0.84,19216,0.84
2024-05-15 19:23:48,0.84,19217,0.84
2024-05-15 19:23:49,0.84,19219,0.84
2024-05-15 19:23:49,0.84,19220,0.84
2024-05-15 19:23:49,0.84,19222,0.84
2024-05-15 19:23:49,0.84,19223,0.84
2024-05-15 19:23:50,0.84,19223,0.84
2024-05-15 19:23:50,1.3,19224,1.3
2024-05-15 19:23:50,0.84,19226,0.84
2024-05-15 19:23:50,0.84,19227,0.84
2024-05-15 19:23:50,0.84,19229,0.84
2024-05-15 19:23:51,0.84,19230,0.84
2024-05-15 19:23:51,0.84,19230,0.84
2024-05-15 19:23:51,0.84,19232,0.84
2024-05-15 19:23:51,1.3,19233,1.3
2024-05-15 19:23:51,1.3,19234,1.3
2024-05-15 19:23:52,0.84,19236,0.84
2024-05-15 19:23:52,0.84,19237,0.84
2024-05-15 19:23:52,0.84,19237,0.84
2024-05-15 19:23:52,1.3,19239,1.3
2024-05-15 19:23:52,1.3,19240,1.3
2024-05-15 19:23:53,1.3,19241,1.3
2024-05-15 19:23:53,0.84,19243,0.84
2024-05-15 19:23:53,1.3,19244,1.3
2024-05-15 19:23:53,1.3,19244,1.3
2024-05-15 19:23:53,1.3,19244,1.3
2024-05-15 19:23:54,0.84,19246,0.84
2024-05-15 19:23:54,0.84,19247,0.84
2024-05-15 19:23:54,0.84,19248,0.84
2024-05-15 19:23:54,1.3,19250,1.3
2024-05-15 19:23:54,0.84,19251,0.84
2024-05-15 19:23:55,1.3,19251,1.3
2024-05-15 19:23:55,0.84,19253,0.84
2024-05-15 19:23:55,1.3,19254,1.3
2024-05-15 19:23:55,0.84,19256,0.84
2024-05-15 19:23:55,1.3,19257,1.3
2024-05-15 19:23:56,0.84,19258,0.84
2024-05-15 19:23:56,0.84,19260,0.84
2024-05-15 19:23:56,0.84,19260,0.84
2024-05-15 19:23:56,0.84,19261,0.84
2024-05-15 19:23:57,0.84,19263,0.84
2024-05-15 19:23:57,0.84,19264,0.84
2024-05-15 19:23:57,1.3,19265,1.3
2024-05-15 19:23:57,1.3,19265,1.3
2024-05-15 19:23:57,0.84,19267,0.84
2024-05-15 19:23:58,1.3,19268,1.3
2024-05-15 19:23:58,0.84,19270,0.84
2024-05-15 19:23:58,1.3,19271,1.3
2024-05-15 19:23:58,0.84,19272,0.84
2024-05-15 19:23:58,0.84,19272,0.84
2024-05-15 19:23:59,1.3,19274,1.3
2024-05-15 19:23:59,1.3,19275,1.3
2024-05-15 19:23:59,0.84,19277,0.84
2024-05-15 19:23:59,0.84,19278,0.84
2024-05-15 19:23:59,0.84,19279,0.84
2024-05-15 19:24:00,0.84,19279,0.84
2024-05-15 19:24:00,0.84,19281,0.84
2024-05-15 19:24:00,0.84,19282,0.84
2024-05-15 19:24:00,1.3,19283,1.3
2024-05-15 19:24:00,1.3,19285,1.3
2024-05-15 19:24:01,0.84,19286,0.84
2024-05-15 19:24:01,0.84,19286,0.84
2024-05-15 19:24:01,1.3,19288,1.3
2024-05-15 19:24:01,0.84,19289,0.84
2024-05-15 19:24:01,1.3,19291,1.3
2024-05-15 19:24:02,0.84,19292,0.84
2024-05-15 19:24:02,0.84,19292,0.84
2024-05-15 19:24:02,0.84,19293,0.84
2024-05-15 19:24:02,0.84,19295,0.84
2024-05-15 19:24:02,0.84,19296,0.84
2024-05-15 19:24:03,0.84,19298,0.84
2024-05-15 19:24:03,0.84,19299,0.84
